datetime,station_id,line_id,passenger_count,weather,temperature,hour,day,month,year,weekday,is_weekend,is_holiday
2023-06-10 01:14:00,S2,L2,20,cloudy,22.3,1,10,6,2023,5,1,0
2023-08-26 06:18:00,S4,L3,25,cloudy,26.8,6,26,8,2023,5,1,0
2023-06-13 07:43:00,S1,L1,22,sunny,23.2,7,13,6,2023,1,0,0
2023-10-28 00:00:00,S4,L3,27,cloudy,28.7,0,28,10,2023,5,1,0
2023-09-23 07:50:00,S2,L3,18,rainy,22.9,7,23,9,2023,5,1,0
2023-07-28 10:29:00,S2,L3,12,cloudy,24.3,10,28,7,2023,4,0,0
2023-11-05 09:29:00,S1,L2,21,sunny,27.6,9,5,11,2023,6,1,0
2023-09-14 20:31:00,S2,L2,23,sunny,22.3,20,14,9,2023,3,0,0
2023-07-29 16:30:00,S5,L3,14,rainy,18.9,16,29,7,2023,5,1,0
2023-06-03 01:00:00,S2,L3,23,cloudy,32.2,1,3,6,2023,5,1,0
2023-04-08 04:27:00,S4,L1,22,rainy,23.8,4,8,4,2023,5,1,0
2023-07-24 09:42:00,S4,L1,20,rainy,20.0,9,24,7,2023,0,0,0
2023-04-28 15:12:00,S4,L2,21,cloudy,21.5,15,28,4,2023,4,0,0
2023-05-07 10:08:00,S4,L2,20,sunny,26.5,10,7,5,2023,6,1,0
2023-12-19 21:56:00,S5,L1,12,rainy,34.9,21,19,12,2023,1,0,0
2023-12-19 13:44:00,S3,L3,19,rainy,26.3,13,19,12,2023,1,0,0
2023-04-12 21:03:00,S1,L2,20,sunny,29.9,21,12,4,2023,2,0,0
2023-03-26 23:18:00,S4,L3,17,cloudy,25.1,23,26,3,2023,6,1,0
2023-10-04 07:41:00,S2,L1,14,cloudy,27.9,7,4,10,2023,2,0,0
2023-03-07 01:17:00,S4,L2,19,cloudy,26.0,1,7,3,2023,1,0,0
2023-11-29 19:59:00,S2,L2,22,sunny,29.9,19,29,11,2023,2,0,0
2023-02-16 01:54:00,S2,L1,21,rainy,21.3,1,16,2,2023,3,0,0
2023-07-20 03:58:00,S4,L2,23,sunny,27.4,3,20,7,2023,3,0,0
2023-03-11 08:07:00,S5,L1,26,rainy,27.8,8,11,3,2023,5,1,0
2023-02-08 18:10:00,S2,L2,16,rainy,29.0,18,8,2,2023,2,0,0
2023-03-13 11:19:00,S2,L1,19,cloudy,20.3,11,13,3,2023,0,0,0
2023-04-03 08:43:00,S4,L2,25,cloudy,24.6,8,3,4,2023,0,0,0
2023-06-16 18:36:00,S2,L3,26,cloudy,30.0,18,16,6,2023,4,0,1
2023-09-29 08:25:00,S2,L3,24,sunny,28.1,8,29,9,2023,4,0,0
2023-06-23 11:14:00,S4,L3,24,cloudy,35.7,11,23,6,2023,4,0,0
2023-05-02 21:53:00,S4,L2,25,sunny,24.4,21,2,5,2023,1,0,0
2023-04-10 16:54:00,S1,L2,27,cloudy,17.1,16,10,4,2023,0,0,0
2023-08-24 12:53:00,S5,L3,22,cloudy,24.7,12,24,8,2023,3,0,0
2023-09-26 19:53:00,S5,L3,13,cloudy,13.7,19,26,9,2023,1,0,0
2023-03-10 18:14:00,S2,L1,25,sunny,30.5,18,10,3,2023,4,0,0
2023-09-24 05:54:00,S5,L1,21,rainy,27.0,5,24,9,2023,6,1,0
2023-11-27 06:07:00,S2,L1,23,sunny,29.0,6,27,11,2023,0,0,0
2023-07-03 19:59:00,S1,L3,18,sunny,29.8,19,3,7,2023,0,0,0
2023-01-03 21:35:00,S4,L3,14,sunny,32.2,21,3,1,2023,1,0,0
2023-02-08 21:30:00,S4,L3,15,rainy,14.0,21,8,2,2023,2,0,0
2023-06-18 12:01:00,S4,L1,16,sunny,16.8,12,18,6,2023,6,1,0
2023-06-26 03:28:00,S5,L2,20,cloudy,23.2,3,26,6,2023,0,0,0
2023-06-29 21:15:00,S1,L3,30,rainy,25.5,21,29,6,2023,3,0,0
2023-09-09 13:29:00,S5,L2,17,sunny,28.0,13,9,9,2023,5,1,0
2023-01-22 14:09:00,S5,L2,16,sunny,27.6,14,22,1,2023,6,1,0
2023-05-21 21:04:00,S1,L2,21,rainy,27.9,21,21,5,2023,6,1,0
2023-02-26 06:19:00,S1,L1,16,sunny,19.2,6,26,2,2023,6,1,1
2023-07-20 08:07:00,S1,L2,20,rainy,23.0,8,20,7,2023,3,0,0
2023-06-19 20:16:00,S1,L3,21,cloudy,25.4,20,19,6,2023,0,0,0
2023-10-12 17:36:00,S4,L1,24,sunny,26.2,17,12,10,2023,3,0,0
2023-02-09 18:26:00,S3,L3,23,sunny,24.5,18,9,2,2023,3,0,0
2023-01-02 16:08:00,S3,L3,24,cloudy,28.3,16,2,1,2023,0,0,0
2023-10-25 14:40:00,S1,L1,17,sunny,21.3,14,25,10,2023,2,0,0
2023-11-24 15:29:00,S3,L3,19,sunny,24.6,15,24,11,2023,4,0,0
2023-09-10 22:07:00,S3,L3,18,rainy,29.5,22,10,9,2023,6,1,0
2023-01-18 20:15:00,S1,L1,14,sunny,28.0,20,18,1,2023,2,0,0
2023-03-27 12:56:00,S3,L3,20,cloudy,25.1,12,27,3,2023,0,0,0
2023-01-12 08:23:00,S5,L2,25,sunny,25.2,8,12,1,2023,3,0,0
2023-02-23 13:10:00,S2,L3,19,rainy,24.6,13,23,2,2023,3,0,0
2023-10-22 06:54:00,S2,L2,31,cloudy,25.3,6,22,10,2023,6,1,0
2023-11-25 11:39:00,S1,L3,21,cloudy,24.5,11,25,11,2023,5,1,0
2023-07-08 00:31:00,S4,L1,21,cloudy,25.2,0,8,7,2023,5,1,0
2023-06-13 12:38:00,S1,L1,25,cloudy,28.5,12,13,6,2023,1,0,0
2023-05-15 14:59:00,S4,L3,16,rainy,28.4,14,15,5,2023,0,0,0
2023-09-22 12:33:00,S2,L1,20,rainy,20.4,12,22,9,2023,4,0,0
2023-05-08 09:02:00,S1,L3,21,rainy,36.0,9,8,5,2023,0,0,0
2023-01-01 17:18:00,S5,L1,18,rainy,24.3,17,1,1,2023,6,1,0
2023-09-17 16:35:00,S3,L2,18,sunny,29.3,16,17,9,2023,6,1,0
2023-07-26 16:57:00,S4,L3,25,rainy,21.6,16,26,7,2023,2,0,0
2023-06-07 20:09:00,S3,L2,23,sunny,34.3,20,7,6,2023,2,0,0
2023-02-08 06:50:00,S3,L2,30,cloudy,29.7,6,8,2,2023,2,0,0
2023-08-29 08:17:00,S1,L3,23,sunny,28.9,8,29,8,2023,1,0,0
2023-07-24 15:11:00,S3,L2,19,sunny,26.1,15,24,7,2023,0,0,0
2023-03-06 17:50:00,S5,L3,28,sunny,17.8,17,6,3,2023,0,0,0
2023-05-27 14:54:00,S3,L2,22,rainy,35.3,14,27,5,2023,5,1,0
2023-05-20 23:31:00,S1,L3,18,rainy,31.3,23,20,5,2023,5,1,1
2023-12-16 13:25:00,S5,L3,22,cloudy,25.4,13,16,12,2023,5,1,0
2023-07-12 14:51:00,S2,L1,20,rainy,29.4,14,12,7,2023,2,0,0
2023-01-17 17:59:00,S3,L3,16,sunny,20.4,17,17,1,2023,1,0,0
2023-07-23 03:27:00,S1,L3,21,rainy,17.5,3,23,7,2023,6,1,0
2023-04-12 08:36:00,S2,L2,29,rainy,27.1,8,12,4,2023,2,0,0
2023-02-05 00:47:00,S2,L3,26,sunny,23.0,0,5,2,2023,6,1,1
2023-09-22 21:19:00,S4,L1,18,cloudy,24.6,21,22,9,2023,4,0,0
2023-12-05 05:13:00,S5,L2,23,rainy,26.7,5,5,12,2023,1,0,0
2023-05-10 08:21:00,S3,L2,15,cloudy,21.1,8,10,5,2023,2,0,1
2023-06-09 00:56:00,S1,L1,24,sunny,26.6,0,9,6,2023,4,0,0
2023-04-06 07:41:00,S4,L2,17,rainy,21.5,7,6,4,2023,3,0,1
2023-01-21 13:14:00,S5,L2,25,cloudy,32.1,13,21,1,2023,5,1,1
2023-09-29 14:57:00,S4,L2,31,cloudy,26.5,14,29,9,2023,4,0,1
2023-10-15 14:52:00,S5,L2,22,sunny,29.6,14,15,10,2023,6,1,0
2023-12-31 18:45:00,S5,L1,23,rainy,18.1,18,31,12,2023,6,1,0
2023-02-25 07:47:00,S3,L1,22,cloudy,29.9,7,25,2,2023,5,1,0
2023-11-17 12:59:00,S5,L2,14,cloudy,34.5,12,17,11,2023,4,0,0
2023-10-14 00:03:00,S4,L2,14,cloudy,27.6,0,14,10,2023,5,1,1
2023-03-05 21:12:00,S5,L1,26,cloudy,29.6,21,5,3,2023,6,1,0
2023-07-22 08:09:00,S3,L1,13,cloudy,25.8,8,22,7,2023,5,1,0
2023-11-13 08:55:00,S3,L1,21,cloudy,28.9,8,13,11,2023,0,0,0
2023-08-22 14:40:00,S4,L2,35,cloudy,35.0,14,22,8,2023,1,0,0
2023-06-01 07:22:00,S2,L2,18,cloudy,38.2,7,1,6,2023,3,0,0
2023-12-21 03:06:00,S2,L3,24,cloudy,28.6,3,21,12,2023,3,0,1
2023-01-16 20:58:00,S5,L1,14,cloudy,21.9,20,16,1,2023,0,0,0
2023-08-13 06:07:00,S1,L2,22,rainy,30.1,6,13,8,2023,6,1,0
2023-06-04 09:22:00,S5,L1,21,sunny,20.8,9,4,6,2023,6,1,0
2023-10-27 01:17:00,S4,L2,24,sunny,23.9,1,27,10,2023,4,0,0
2023-08-17 05:15:00,S4,L1,15,sunny,24.4,5,17,8,2023,3,0,0
2023-12-28 11:38:00,S4,L2,17,cloudy,37.2,11,28,12,2023,3,0,0
2023-05-07 15:15:00,S4,L3,22,sunny,34.1,15,7,5,2023,6,1,0
2023-08-01 10:08:00,S4,L3,19,cloudy,33.1,10,1,8,2023,1,0,0
2023-12-21 04:22:00,S3,L1,15,rainy,31.1,4,21,12,2023,3,0,0
2023-10-22 12:21:00,S2,L2,20,sunny,22.5,12,22,10,2023,6,1,0
2023-02-16 00:22:00,S4,L2,20,rainy,28.2,0,16,2,2023,3,0,0
2023-03-01 04:24:00,S1,L1,17,rainy,36.2,4,1,3,2023,2,0,0
2023-06-28 16:50:00,S1,L2,15,cloudy,29.2,16,28,6,2023,2,0,0
2023-03-11 21:51:00,S1,L1,21,sunny,32.2,21,11,3,2023,5,1,0
2023-06-08 14:27:00,S1,L2,20,rainy,19.0,14,8,6,2023,3,0,0
2023-02-20 20:07:00,S3,L1,15,sunny,30.6,20,20,2,2023,0,0,0
2023-02-01 06:25:00,S1,L2,23,rainy,21.7,6,1,2,2023,2,0,0
2023-08-14 01:48:00,S4,L1,23,rainy,25.9,1,14,8,2023,0,0,0
2023-02-04 05:21:00,S5,L2,26,cloudy,34.1,5,4,2,2023,5,1,0
2023-03-05 23:33:00,S1,L3,14,sunny,28.7,23,5,3,2023,6,1,0
2023-06-07 19:30:00,S3,L2,17,cloudy,31.1,19,7,6,2023,2,0,0
2023-02-11 19:00:00,S3,L1,13,cloudy,26.1,19,11,2,2023,5,1,1
2023-02-11 01:16:00,S1,L3,21,cloudy,17.4,1,11,2,2023,5,1,0
2023-11-21 15:59:00,S5,L2,24,cloudy,22.3,15,21,11,2023,1,0,0
2023-02-05 16:29:00,S1,L3,18,cloudy,30.4,16,5,2,2023,6,1,0
2023-08-06 03:53:00,S3,L2,17,rainy,28.7,3,6,8,2023,6,1,0
2023-05-23 19:33:00,S2,L3,11,sunny,35.3,19,23,5,2023,1,0,0
2023-05-01 23:12:00,S4,L1,23,sunny,27.6,23,1,5,2023,0,0,0
2023-04-05 09:18:00,S3,L2,22,cloudy,22.5,9,5,4,2023,2,0,0
2023-12-10 14:21:00,S1,L2,19,sunny,26.9,14,10,12,2023,6,1,0
2023-06-08 14:48:00,S4,L1,13,rainy,32.0,14,8,6,2023,3,0,0
2023-02-17 01:52:00,S1,L3,28,cloudy,18.2,1,17,2,2023,4,0,0
2023-09-08 06:20:00,S1,L1,19,rainy,28.7,6,8,9,2023,4,0,0
2023-12-19 06:24:00,S2,L1,19,rainy,20.7,6,19,12,2023,1,0,1
2023-01-16 04:56:00,S4,L3,18,cloudy,27.8,4,16,1,2023,0,0,0
2023-01-12 22:36:00,S4,L1,26,rainy,30.6,22,12,1,2023,3,0,0
2023-01-02 19:47:00,S2,L2,20,cloudy,29.8,19,2,1,2023,0,0,1
2023-07-25 22:43:00,S3,L2,21,rainy,33.7,22,25,7,2023,1,0,0
2023-02-07 06:37:00,S1,L2,22,sunny,28.3,6,7,2,2023,1,0,1
2023-12-21 15:25:00,S5,L1,18,sunny,29.6,15,21,12,2023,3,0,0
2023-07-04 12:18:00,S1,L2,10,sunny,29.7,12,4,7,2023,1,0,0
2023-10-19 00:11:00,S1,L2,28,cloudy,22.2,0,19,10,2023,3,0,0
2023-08-21 21:47:00,S3,L2,19,rainy,26.4,21,21,8,2023,0,0,0
2023-07-14 20:08:00,S1,L2,26,rainy,14.7,20,14,7,2023,4,0,0
2023-01-17 17:40:00,S2,L2,21,sunny,28.9,17,17,1,2023,1,0,0
2023-08-24 22:27:00,S2,L2,31,sunny,13.2,22,24,8,2023,3,0,0
2023-02-05 22:20:00,S4,L1,21,cloudy,31.2,22,5,2,2023,6,1,0
2023-09-06 09:31:00,S5,L2,12,cloudy,35.3,9,6,9,2023,2,0,0
2023-11-28 05:08:00,S1,L2,22,rainy,29.5,5,28,11,2023,1,0,0
2023-06-25 11:48:00,S1,L3,20,cloudy,30.3,11,25,6,2023,6,1,0
2023-08-22 18:16:00,S3,L1,16,cloudy,33.0,18,22,8,2023,1,0,0
2023-08-04 01:07:00,S2,L1,22,cloudy,24.8,1,4,8,2023,4,0,0
2023-12-24 23:34:00,S5,L1,19,sunny,20.6,23,24,12,2023,6,1,0
2023-03-13 21:49:00,S4,L1,22,sunny,26.6,21,13,3,2023,0,0,0
2023-03-31 15:23:00,S2,L2,22,rainy,23.2,15,31,3,2023,4,0,0
2023-06-02 20:19:00,S4,L2,17,cloudy,27.4,20,2,6,2023,4,0,0
2023-03-01 11:06:00,S3,L3,25,sunny,28.3,11,1,3,2023,2,0,0
2023-05-29 17:30:00,S3,L3,22,cloudy,24.6,17,29,5,2023,0,0,0
2023-01-20 15:56:00,S1,L1,17,rainy,23.4,15,20,1,2023,4,0,0
2023-05-06 21:01:00,S5,L3,16,cloudy,16.2,21,6,5,2023,5,1,1
2023-01-14 13:52:00,S4,L3,25,rainy,26.2,13,14,1,2023,5,1,0
2023-09-28 15:52:00,S2,L1,15,rainy,24.8,15,28,9,2023,3,0,0
2023-01-22 03:33:00,S3,L1,24,sunny,25.2,3,22,1,2023,6,1,0
2023-08-01 00:55:00,S1,L3,22,cloudy,30.7,0,1,8,2023,1,0,0
2023-11-16 02:33:00,S1,L2,16,sunny,36.8,2,16,11,2023,3,0,0
2023-03-29 01:29:00,S4,L3,25,cloudy,25.2,1,29,3,2023,2,0,0
2023-12-02 19:31:00,S3,L3,19,cloudy,28.9,19,2,12,2023,5,1,0
2023-02-25 03:27:00,S5,L2,20,rainy,28.3,3,25,2,2023,5,1,1
2023-05-08 21:20:00,S3,L2,18,rainy,32.7,21,8,5,2023,0,0,0
2023-03-20 23:21:00,S4,L1,22,cloudy,22.4,23,20,3,2023,0,0,0
2023-07-18 13:48:00,S4,L1,12,sunny,22.3,13,18,7,2023,1,0,0
2023-08-20 09:32:00,S3,L3,30,rainy,22.9,9,20,8,2023,6,1,0
2023-06-05 10:21:00,S4,L2,23,rainy,15.7,10,5,6,2023,0,0,0
2023-11-20 01:30:00,S3,L1,15,cloudy,26.8,1,20,11,2023,0,0,0
2023-07-15 15:50:00,S2,L3,18,cloudy,21.7,15,15,7,2023,5,1,0
2023-05-07 07:54:00,S3,L2,14,rainy,28.3,7,7,5,2023,6,1,1
2023-08-24 05:59:00,S3,L3,22,sunny,15.0,5,24,8,2023,3,0,0
2023-02-24 00:03:00,S4,L1,20,rainy,26.7,0,24,2,2023,4,0,0
2023-08-12 15:12:00,S4,L1,16,cloudy,25.7,15,12,8,2023,5,1,0
2023-06-05 08:01:00,S1,L2,14,rainy,24.3,8,5,6,2023,0,0,0
2023-11-10 04:12:00,S1,L3,25,cloudy,32.0,4,10,11,2023,4,0,0
2023-03-16 08:12:00,S2,L2,26,rainy,23.0,8,16,3,2023,3,0,1
2023-01-28 08:02:00,S1,L1,27,cloudy,28.5,8,28,1,2023,5,1,0
2023-02-17 10:27:00,S3,L1,22,cloudy,23.8,10,17,2,2023,4,0,0
2023-11-01 00:11:00,S4,L3,25,sunny,35.3,0,1,11,2023,2,0,0
2023-11-05 11:13:00,S1,L3,14,cloudy,26.3,11,5,11,2023,6,1,0
2023-09-12 06:21:00,S1,L3,19,rainy,30.4,6,12,9,2023,1,0,0
2023-03-20 02:44:00,S2,L2,26,cloudy,30.0,2,20,3,2023,0,0,1
2023-03-27 01:37:00,S2,L3,17,rainy,32.7,1,27,3,2023,0,0,0
2023-04-07 11:59:00,S3,L3,21,sunny,27.7,11,7,4,2023,4,0,0
2023-08-20 00:54:00,S4,L1,18,rainy,20.4,0,20,8,2023,6,1,0
2023-05-24 02:03:00,S2,L1,17,sunny,29.2,2,24,5,2023,2,0,0
2023-01-23 03:11:00,S1,L3,24,sunny,28.4,3,23,1,2023,0,0,0
2023-04-28 00:12:00,S4,L3,18,cloudy,11.8,0,28,4,2023,4,0,0
2023-12-25 20:50:00,S4,L1,26,sunny,18.6,20,25,12,2023,0,0,0
2023-06-23 00:26:00,S1,L3,19,rainy,30.5,0,23,6,2023,4,0,0
2023-09-02 22:13:00,S2,L2,18,sunny,34.1,22,2,9,2023,5,1,0
2023-01-17 07:59:00,S1,L2,23,sunny,26.6,7,17,1,2023,1,0,0
2023-11-03 20:02:00,S4,L2,20,cloudy,31.0,20,3,11,2023,4,0,0
2023-08-27 21:45:00,S5,L3,20,rainy,27.5,21,27,8,2023,6,1,0
2023-06-10 19:45:00,S5,L1,20,sunny,27.2,19,10,6,2023,5,1,0
2023-07-21 21:06:00,S3,L3,25,cloudy,26.3,21,21,7,2023,4,0,0
2023-12-14 17:14:00,S1,L3,12,cloudy,27.4,17,14,12,2023,3,0,0
2023-06-12 04:43:00,S1,L1,20,rainy,28.9,4,12,6,2023,0,0,0
2023-07-07 13:49:00,S3,L1,19,cloudy,25.0,13,7,7,2023,4,0,0
2023-04-24 02:49:00,S3,L1,18,sunny,33.2,2,24,4,2023,0,0,0
2023-09-10 03:20:00,S3,L2,24,cloudy,22.0,3,10,9,2023,6,1,0
2023-12-27 07:46:00,S4,L3,9,rainy,35.5,7,27,12,2023,2,0,0
2023-06-25 05:29:00,S1,L1,17,rainy,25.9,5,25,6,2023,6,1,0
2023-04-01 11:19:00,S4,L3,13,cloudy,26.7,11,1,4,2023,5,1,0
2023-03-21 19:01:00,S3,L2,22,sunny,23.9,19,21,3,2023,1,0,0
2023-09-20 19:05:00,S1,L2,19,cloudy,29.0,19,20,9,2023,2,0,0
2023-11-02 00:28:00,S4,L1,21,rainy,25.1,0,2,11,2023,3,0,0
2023-02-19 10:09:00,S4,L1,19,cloudy,24.6,10,19,2,2023,6,1,0
2023-10-08 01:44:00,S3,L3,22,cloudy,30.1,1,8,10,2023,6,1,0
2023-06-29 01:20:00,S1,L1,17,sunny,32.8,1,29,6,2023,3,0,0
2023-11-26 11:03:00,S3,L3,13,cloudy,21.8,11,26,11,2023,6,1,1
2023-10-02 12:59:00,S1,L1,13,sunny,31.1,12,2,10,2023,0,0,0
2023-11-11 23:52:00,S5,L3,23,cloudy,33.2,23,11,11,2023,5,1,0
2023-08-28 04:47:00,S2,L3,36,cloudy,18.2,4,28,8,2023,0,0,1
2023-03-24 15:18:00,S2,L3,19,sunny,22.8,15,24,3,2023,4,0,0
2023-10-11 09:37:00,S2,L3,26,sunny,33.1,9,11,10,2023,2,0,0
2023-09-27 05:40:00,S3,L2,21,rainy,28.9,5,27,9,2023,2,0,0
2023-12-23 03:19:00,S5,L3,16,sunny,35.5,3,23,12,2023,5,1,1
2023-02-12 07:51:00,S1,L1,22,cloudy,26.1,7,12,2,2023,6,1,0
2023-05-05 07:44:00,S4,L2,15,rainy,24.4,7,5,5,2023,4,0,0
2023-04-28 00:04:00,S1,L2,23,sunny,33.8,0,28,4,2023,4,0,0
2023-03-24 05:17:00,S4,L3,16,sunny,22.8,5,24,3,2023,4,0,0
2023-06-16 19:07:00,S1,L2,21,rainy,25.8,19,16,6,2023,4,0,0
2023-10-08 08:34:00,S5,L3,14,cloudy,29.8,8,8,10,2023,6,1,0
2023-08-16 15:01:00,S4,L1,23,cloudy,30.3,15,16,8,2023,2,0,0
2023-10-22 19:06:00,S3,L3,29,rainy,23.0,19,22,10,2023,6,1,0
2023-01-19 10:44:00,S1,L2,12,cloudy,28.3,10,19,1,2023,3,0,0
2023-09-08 09:21:00,S1,L1,27,sunny,25.5,9,8,9,2023,4,0,0
2023-08-04 15:37:00,S4,L3,19,cloudy,18.6,15,4,8,2023,4,0,0
2023-10-22 11:19:00,S3,L1,17,sunny,24.7,11,22,10,2023,6,1,0
2023-06-16 16:35:00,S3,L1,21,cloudy,18.8,16,16,6,2023,4,0,0
2023-06-12 01:15:00,S5,L2,19,sunny,23.7,1,12,6,2023,0,0,0
2023-08-25 21:22:00,S3,L1,20,rainy,21.0,21,25,8,2023,4,0,0
2023-06-07 14:39:00,S3,L2,25,sunny,30.9,14,7,6,2023,2,0,0
2023-09-04 01:31:00,S3,L1,22,cloudy,28.5,1,4,9,2023,0,0,0
2023-06-21 07:54:00,S2,L3,21,sunny,34.7,7,21,6,2023,2,0,0
2023-02-23 09:18:00,S5,L1,31,cloudy,22.4,9,23,2,2023,3,0,0
2023-12-06 22:15:00,S1,L3,17,cloudy,27.6,22,6,12,2023,2,0,0
2023-12-16 02:56:00,S4,L3,23,sunny,21.5,2,16,12,2023,5,1,0
2023-08-26 04:36:00,S1,L1,17,cloudy,23.8,4,26,8,2023,5,1,0
2023-10-13 07:40:00,S5,L3,19,rainy,25.0,7,13,10,2023,4,0,0
2023-08-12 20:44:00,S4,L1,25,cloudy,36.9,20,12,8,2023,5,1,1
2023-02-09 05:04:00,S5,L1,22,rainy,28.8,5,9,2,2023,3,0,0
2023-10-04 11:28:00,S3,L3,22,rainy,26.4,11,4,10,2023,2,0,0
2023-04-08 07:36:00,S4,L3,19,cloudy,32.4,7,8,4,2023,5,1,0
2023-01-01 04:05:00,S3,L2,19,rainy,30.4,4,1,1,2023,6,1,0
2023-08-31 09:31:00,S1,L3,24,rainy,26.7,9,31,8,2023,3,0,0
2023-04-23 15:55:00,S1,L2,23,sunny,30.4,15,23,4,2023,6,1,0
2023-08-17 05:23:00,S4,L3,16,rainy,25.5,5,17,8,2023,3,0,0
2023-05-21 10:26:00,S4,L1,21,rainy,41.9,10,21,5,2023,6,1,1
2023-01-17 07:38:00,S5,L3,23,rainy,33.1,7,17,1,2023,1,0,1
2023-07-16 19:27:00,S5,L1,25,rainy,25.0,19,16,7,2023,6,1,0
2023-09-09 18:17:00,S3,L1,21,rainy,30.8,18,9,9,2023,5,1,0
2023-11-04 17:03:00,S4,L1,25,cloudy,29.7,17,4,11,2023,5,1,0
2023-02-02 19:18:00,S1,L2,17,rainy,28.4,19,2,2,2023,3,0,0
2023-04-19 21:20:00,S5,L3,20,cloudy,29.6,21,19,4,2023,2,0,0
2023-08-03 12:29:00,S5,L1,19,cloudy,22.9,12,3,8,2023,3,0,0
2023-07-26 22:59:00,S1,L1,26,cloudy,24.8,22,26,7,2023,2,0,0
2023-03-20 12:23:00,S5,L2,23,sunny,35.3,12,20,3,2023,0,0,0
2023-10-07 18:39:00,S3,L3,17,sunny,28.0,18,7,10,2023,5,1,0
2023-12-29 18:50:00,S4,L3,23,cloudy,23.5,18,29,12,2023,4,0,0
2023-06-28 22:11:00,S1,L2,14,sunny,26.3,22,28,6,2023,2,0,0
2023-01-02 07:47:00,S4,L2,27,rainy,24.3,7,2,1,2023,0,0,0
2023-04-26 01:30:00,S5,L3,24,cloudy,31.5,1,26,4,2023,2,0,0
2023-05-09 12:09:00,S5,L2,15,cloudy,24.2,12,9,5,2023,1,0,0
2023-08-13 07:33:00,S1,L3,18,cloudy,27.2,7,13,8,2023,6,1,0
2023-12-02 21:51:00,S3,L3,14,sunny,23.7,21,2,12,2023,5,1,0
2023-05-11 06:52:00,S2,L1,19,sunny,38.0,6,11,5,2023,3,0,0
